,text,topic
2553,"An act to add Section 115102 to the Health and Safety Code, relating to mammography.",Health
2554,"An act to amend Section 435 of the Military and Veterans Code, relating to the state militia.",Military
2555,"An act to add Chapter 5.2 (commencing with Section 19990.01) to Division 8 of the Business and Professions Code, relating to Internet gambling, and declaring the urgency thereof, to take effect immediately.",Gambling and Gaming
2556,"An act to amend Sections 19401, 19481.5, and 19501 of the Business and Professions Code, relating to horse racing.",Recreation
2557,"An act to amend Sections 2933 and 4019 of the Penal Code, relating to inmates, and declaring the urgency thereof, to take effect immediately.",Crime
2558,"An act to amend Sections 6362 and 8625 of the Public Resources Code, relating to state lands, and making an appropriation therefor.",Environmental
2559,"An act to amend Sections 2065, 2096, 2102, 2103, 2177, 2184, 2516, 2530.2, 2539.1, 2539.6, 2570.19, 3025.1, 3046, 3057.5, 3147, 3147.6, 3147.7, 3365.5, 4013, 4017, 4028, 4037, 4052.3, 4059, 4072, 4076.5, 4101, 4119, 4127.1, 4169, 4181, 4191, 4196, 4425, 4426, 4980.40.5, 4980.43, 4980.80, 4982.25, 4984.8, 4989.54, 4990.02, 4990.12, 4990.18, 4990.22, 4990.30, 4990.38, 4992.36, 4996.17, 4996.23, 4999.46, 4999.54, 4999.58, and 4999.90 of, to add Section 4200.1 to, to add and repeal Sections 4999.57 and 4999.59 of, to repeal Sections 2026, 4980.07, 4982.2, and 4984.6 of, and to repeal Article 3 (commencing with Section 4994) of Chapter 14 of Division 2 of, the Business and Professions Code, relating to healing arts.",Health
2560,"An act relating to the payment of claims against the state, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Legal Issues
2561,"An act to amend Sections 5092, 5094.6, and 5096.12 of the Business and Professions Code, relating to professions and vocations, and declaring the urgency thereof, to take effect immediately.",Health
2562,"An act to amend Sections 5020, 5021, 5024, 5076, 5090, 5109, 5120, 5122, 6750, 6751, 6756, 6758, 6759, 6763, 6799, 7028.6, 7028.7, 7028.9, 7058.5, 7099.2, 7110, 7210.7, 7316, 7317, 7320.1, 7352, 7410, 8740, 8746, 8748, and 8805 of, and to repeal Section 5109.5 of, the Business and Professions Code, and to amend Sections 7054.6 and 8344 of, and to repeal Section 8340 of, the Health and Safety Code, relating to professions and vocations.",Labor and Employment
2563,"An act to amend Sections 19191 and 19194 of the Revenue and Taxation Code, relating to taxation.","Budget, Spending, and Taxes"
2564,"An act to amend Section 42463 of the Public Resources Code, to amend Sections 61, 63.1, 69.5, 218, 401.10, 1604, 4831, 5096, 41030, 41031, 41032, 41136.1, 41137, 41137.1, 41138, 41139, 41140, 41141, 41142, 45855, 45863, 45981, and 45982 of, and to repeal Sections 1624.3, 1636.2, and 1636.5 of, the Revenue and Taxation Code, relating to taxation.","Budget, Spending, and Taxes"
2565,"An act to amend Section 1095 of the Unemployment Insurance Code, relating to unemployment insurance.",Labor and Employment
2566,"An act to amend, repeal, and add Sections 186.22, 186.33, 1170.1, 12021.5, 12022.2, and 12022.4 of the Penal Code, relating to sentencing.",Crime
2567,"An act to add and repeal Part 4.7 (commencing with Section 14700) of the Penal Code, relating to reentry.",Judiciary
2568,"An act to amend Section 4024 of the Penal Code, relating to jails.",Crime
2569,"An act to amend Section 668 of the Harbors and Navigation Code, to amend Section 11836 of the Health and Safety Code, and to amend Section 13352 of the Vehicle Code, relating to vessels.",Transportation
2570,"An act to amend Section 11379.7 of the Health and Safety Code, relating to controlled substances.",Family and Children Issues
2571,"An act to amend Section 21809 of, and to amend and repeal Section 25253 of, the Vehicle Code, relating to vehicles.",Public Services
2572,"An act to amend Sections 12206, 17058, 19611, and 23610.5 of, and to add Sections 17058.6 and 23610.6 to, the Revenue and Taxation Code, relating to taxation, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Housing and Property
2573,"An act to add Section 66021.6 to the Education Code, relating to student financial aid.",Education
2574,"An act to add Section 1367.655 to the Health and Safety Code, and to add Section 10123.205 to the Insurance Code, relating to health care coverage.",Health
2575,"An act to amend Section 50078.1 of the Government Code, relating to local government.",Public Services
2576,"An act to amend Section 56001 of the Government Code, relating to local government.",Municipal and County Issues
2577,An act relating to disaster relief.,"Budget, Spending, and Taxes"
2578,"An act to amend Section 44017.4 of the Health and Safety Code, and to amend Section 4750.1 of the Vehicle Code, relating to vehicles.",Transportation
2579,"An act to add Section 18871.12 to the Health and Safety Code, relating to special occupancy parks.",Environmental
2580,"An act to amend Sections 42885.5 and 42889 of the Public Resources Code, relating to solid waste.",Environmental
2581,"An act to amend Section 32731 of the Food and Agricultural Code, relating to milk products.",Agriculture and Food
2582,"An act to add Chapter 4 (commencing with Section 8360) to Division 4.1 of the Public Utilities Code, relating to electricity.",Energy
2583,"An act to amend Sections 44839 and 44839.5 of the Education Code, relating to public schools.",Labor and Employment
2584,"An act to amend Sections 2224, 2225, and 2226 of the Elections Code, relating to voters.",Campaign Finance and Election Issues
2585,"An act to amend Sections 12070, 12072, 12078, and 12083 of the Penal Code, relating to firearms.",Guns
2586,"An act to amend Section 395.5 of the Public Utilities Code, relating to electricity.",Energy
2587,"An act to amend Section 1464 of the Penal Code, and to amend Sections 27315, 27315.3, and 27360 of the Vehicle Code, relating to vehicles.",Transportation
2588,"An act to add Section 14673.9 to the Government Code, relating to state property, and making an appropriation therefor.",State Agencies
2589,"An act to amend Section 248 of the Welfare and Institutions Code, relating to juveniles.",Family and Children Issues
2590,"An act to add Section 26 to the Health and Safety Code, relating to health and safety.",Legal Issues
2591,"An act to amend Sections 87482, 87482.6, and 87482.7 of the Education Code, relating to community colleges.",Education
2592,"An act to amend Section 34515 of the Vehicle Code, relating to vehicles.",Transportation
2593,"An act to amend Section 12022.1 of the Penal Code, relating to punishment.",Legal Issues
2594,"An act to amend Section 510 of, and to add Section 511.5 to, the Labor Code, relating to employment.",Labor and Employment
2595,"and Safety Code, to amend Section 11751.82 of the Insurance Code, to amend Section 218.5 of the Labor Code, to amend Sections 4107.7, 7103, 10222, 10822, 20104, 20134, 20461, 20496, 20682.5, 20688.4, 20813, 20815.3, 20991, 21061, 21071, 21081, 21091, 21101, 21111, 21121, 21131, 21141, 21151, 21161, 21171, 21181, 21196, 21212, 21231, 21241, 21251, 21261, 21271, 21311, 21321, 21331, 21341, 21351, 21361, 21371, 21381, 21391, 21401, 21411, 21421, 21431, 21441, 21451, 21461, 21491, 21501, 21511, 21521, 21531, 21541, 21572, 21581, 21591, 21601, 21622, and 21631 of, the Public Contract Code, and to amend Section 136.5 of the Streets and Highways Code, relating to mechanics liens.",Other
2596,"An act to amend Sections 10601, 10601.5, 10802, 10804, and 60900 of the Education Code, relating to education data.",Education
2597,"An act to amend Sections 98 and 98.02 of the Revenue and Taxation Code, relating to property taxation, and declaring the urgency thereof, to take effect immediately.",Transportation
2598,"An act to amend Section 47660 of the Education Code, relating to charter schools.",Education
2599,"An act to add and repeal Section 52124.2 of the Education Code, relating to class size reduction.",Education
2600,"An act to amend Section 66290 of the Education Code, relating to postsecondary education.",Social Issues
2601,"An act to amend Sections 1255.1, 1255.2, and 1255.25 of the Health and Safety Code, relating to emergency medical services.",Health
2602,"An act to amend Sections 1335, 1337, and 1341 of the Penal Code, relating to domestic violence.",Social Issues
2603,"An act to amend Section 32130.6 of the Health and Safety Code, relating to health care districts.",Health
2604,"An act to amend Sections 99200, 99200.5, 99201, and 99202 of, and to repeal Section 99206 of, the Education Code, relating to postsecondary education.",Education
2605,"An act to amend Sections 1798.29 and 1798.82 of the Civil Code, relating to personal information.",Legal Issues
2606,"An act to amend Section 320.5 of the Penal Code, relating to raffles.",Technology and Communication
2607,"An act to amend Section 21100.4 of the Vehicle Code, relating to vehicles.",Transportation
2608,"An act to amend the heading of Article 1 (commencing with Section 12000) of Chapter 1 of Part 8 of Division 1 of Title 1 of, and to add Section 12001.5 to, the Education Code, relating to education finance, and declaring the urgency thereof, to take effect immediately.",Education
2609,"An act to amend Sections 14105.24, 14167.1, 14167.2, 14167.3, 14167.4, 14167.5, 14167.6, 14167.8, 14167.9, 14167.10, 14167.11, 14167.12, 14167.14, 14167.31, 14167.32, 14167.35, and 14167.354 of, to amend and renumber and add Section 14182 of, and to add Sections 14089.07, 14132.275, 14166.252, 14182.1, 14182.15, 14182.2, 14182.3, and 14182.4 to, the Welfare and Institutions Code, relating to Medi-Cal, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Health
2610,"An act to amend Section 55.54 of the Civil Code, relating to disability access.",Legal Issues
2611,"An act to add Section 5523 to the Fish and Game Code, relating to fishing.",Animal Rights and Wildlife Issues
2612,"An act to amend Section 42005 of the Vehicle Code, relating to vehicles.",Transportation
2613,"An act to add Section 11834.255 to the Health and Safety Code, relating to residential facilities.",Health
2614,"An act to amend Section 56668 of the Government Code, relating to local government.",Municipal and County Issues
2615,"An act to amend Section 66406 of the Education Code, relating to college instructional materials.",Education
2616,"An act to add Section 89500.5 to, and to add Article 2 (commencing with Section 92010) to Chapter 1 of Part 57 of Division 9 of Title 3 of, the Education Code, relating to public postsecondary education.",Education
2617,"An act to amend Section 8547.10 of the Government Code, relating to improper governmental activities.",Government Reform
2618,"An act to amend Section 25256.1 of the Health and Safety Code, relating to hazardous materials.",Health
2619,"An act to amend Section 930 of the Unemployment Insurance Code, relating to unemployment compensation, and making an appropriation therefor, to take effect immediately, tax levy.",Labor and Employment
2620,"An act to amend Section 44281 of, and to add Section 40708.5 to, the Health and Safety Code, relating to air pollution, and declaring the urgency thereof, to take effect immediately.",Environmental
2621,"An act to amend Section 786 of the Penal Code, relating to identity theft.",Crime
2622,"An act to amend Section 42954 of the Public Resources Code, relating to waste tire haulers.",Business and Consumers
2623,"An act to amend Section 25205.5 of the Health and Safety Code, relating to hazardous waste.",Environmental
2624,"An act to amend Section 44017.4 of the Health and Safety Code, and to amend Section 4750.1 of the Vehicle Code, relating to vehicles.",Transportation
2625,"An act to add Section 5653.2 to the Fish and Game Code, relating to fish and wildlife, and declaring the urgency thereof, to take effect immediately.",Legal Issues
2626,"An act to amend Section 89500 of the Education Code, relating to the California State University.",Labor and Employment
2627,"An act to amend Section 51221.5 of the Education Code, relating to curriculum.",Education
2628,"An act to amend Sections 11302, 11314, 11315.5, 11409, and 11422 of, to add Sections 11315.1, 11320.5, 11328.1, 11345, 11345.05, 11345.1, 11345.2, 11345.3, 11345.4, 11345.45, 11345.6, 11346, and 11406.5 to, and to repeal and add Section 11343 of, the Business and Professions Code, and to amend Section 1090.5 of the Civil Code, relating to real estate appraisers, and making an appropriation therefor.",Housing and Property
2629,"An act to repeal and add Section 532f of the Penal Code, relating to crimes.",Housing and Property
2630,"An act to amend Section 487h of the Penal Code, relating to theft.",Commerce
2631,"An act to amend Section 21809 of the Vehicle Code, relating to vehicles.",Transportation
2632,"Safety Code, relating to food facilities, and declaring the urgency thereof, to take effect immediately.",Agriculture and Food
2633,"An act to add Section 51.15 to the Civil Code, relating to civil rights.",Civil Liberties and Civil Rights
2634,"An act to amend Section 19800 of the Business and Professions Code, relating to gambling control.",Gambling and Gaming
2635,"An act to amend Section 25503.6 of the Business and Professions Code, relating to alcoholic beverages.",Legal Issues
2636,"An act to amend Section 12301.6 of, and to add Section 12301.61 to, the Welfare and Institutions Code, relating to in-home supportive services.",Senior Issues
2637,"An act to add Section 60422.1 to the Education Code, relating to instructional materials.",Other
2638,"An act to amend Section 271 of, and to add Article 6 (commencing with Section 66295) to Chapter 4.5 of Part 40 of Division 5 of Title 3 of, the Education Code, relating to educational equity.",Education
2639,"An act to add Sections 30804.6 and 31751.4 to the Food and Agricultural Code, relating to animals.",Animal Rights and Wildlife Issues
2640,"An act to amend Sections 65584.05 and 66412 of the Government Code, to amend Sections 18031.7, 18062.9, 33334.14, and 53545.9 of the Health and Safety Code, and to amend Sections 3692.4, 12206, 17058, and 23610.5 of the Revenue and Taxation Code, relating to housing.",Housing and Property
2641,"An act to amend Section 17582 of the Education Code, relating to school facilities.",Education
2642,"An act to amend, repeal, and add Section 51225.3 of the Education Code, relating to graduation requirements.",Education
2643,"An act to repeal and add Section 19525 of the Business and Professions Code, relating to horse racing.",Animal Rights and Wildlife Issues
2644,"An act to amend Section 1351 of the Civil Code, relating to common interest developments.",Other
2645,"An act to add Section 14673.3 to the Government Code, relating to state property, and making an appropriation therefor.",State Agencies
2646,"An act to amend Section 20111.5 of, and to add Section 20111.6 to, the Public Contract Code, relating to public contracts.",Education
2647,"An act to amend Section 1363.09 of the Civil Code, relating to common interest developments.",Campaign Finance and Election Issues
2648,"An act to amend Section 13431 of the Business and Professions Code, relating to petroleum products.",Energy
2649,"An act to amend Section 30315 of, and to add Section 30315.2 to, the Public Resources Code, relating to coastal resources.",Environmental
2650,"An act to amend Section 61105 of the Government Code, relating to community services districts.",Municipal and County Issues
2651,"An act to amend Section 60850 of the Education Code, relating to pupil assessment.",Education
2652,"An act to add Sections 3060.3 and 5072 to the Penal Code, relating to parole, and making an appropriation therefor.",Crime
2653,"An act to add and repeal Article 10 (commencing with Section 48350) of Chapter 2 of Part 27 of Division 4 of Title 2 of the Education Code, relating to public schools.",Education
2654,An act relating to environmental protection.,Environmental
2655,"An act to add Section 4576 to the Penal Code, relating to correctional facilities.",Crime
2656,"An act to add Section 53084.5 to the Government Code, relating to local government, and declaring the urgency thereof, to take effect immediately.",Municipal and County Issues
2657,"An act to amend Section 49600 of the Education Code, relating to educational counseling.",Education
2658,"An act to amend Sections 124250 and 124251 of the Health and Safety Code, and to amend Sections 13823.15 and 13823.16 of the Penal Code, relating to domestic violence.",Family and Children Issues
2659,"An act to amend Section 69.5 of the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Housing and Property
2660,"An act to amend Sections 6704, 6706.3, 6730, 6737.3, 6738, 6740, 6741, and 6787 of, to add Sections 6702.3, 6702.4, 6702.5, 6702.6, 6702.7, 6702.8, 6702.9, 6702.10, 6702.11, 6730.6, 6730.7, and 6731.7 to, and to repeal Section 6704.1 of, the Business and Professions Code, relating to engineers.",Other
2661,"An act to amend Section 5020 of the Probate Code, relating to nonprobate transfers.",Housing and Property
2662,"An act to add Section 97.79 to the Revenue and Taxation Code, relating to local government finance, and declaring the urgency thereof, to take effect immediately.",Housing and Property
2663,"An act to amend Section 20090 of the Government Code, relating to public employeesâ€™ retirement.",Labor and Employment
2664,"An act to amend Sections 53313.5 and 53324 of, and to add Sections 53328.1, 53329.6, 53355.5, and 53355.7 to, the Government Code, relating to local government.",Municipal and County Issues
2665,"An act to amend Sections 1202a, 3600, 3602, and 3603 of, and to add Section 3603.5 to, the Penal Code, relating to prisons, and declaring the urgency thereof, to take effect immediately.",Crime
2666,"An act to add Section 2081.3 to the Fish and Game Code, relating to endangered species.",Animal Rights and Wildlife Issues
2667,"An act to add Part 8.2 (commencing with Section 7940) to Division 5 of the Labor Code, relating to employment.",Labor and Employment
2668,"An act to amend Section 512 of the Labor Code, relating to employment.",Labor and Employment
2669,"An act to add Section 13211.7 to the Elections Code, relating to elections.",Campaign Finance and Election Issues
2670,"An act to amend Sections 1265.8 and 130060 of, and to add Sections 1265.9, 130064, 130065.1, and 130066 to, the Health and Safety Code, relating to health facilities, and making an appropriation therefor.",Health
2671,"An act to add Section 4107.5 to the Food and Agricultural Code, and to amend Section 8300 of, and to add Section 11011.23 to, the Government Code, relating to state surplus property, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",State Agencies
2672,"An act to amend Section 1946.1 of the Civil Code, relating to tenancy.",Housing and Property
2673,"An act to add Chapter 9.9 (commencing with Section 6280) to Title 7 of Part 3 of the Penal Code, relating to prisoners.",Crime
2674,"An act to amend Sections 48000 and 48010 of the Education Code, relating to pupil admission.",Education
2675,"An act to add Section 38561.5 to the Health and Safety Code, relating to air pollution, and declaring the urgency thereof, to take effect immediately.",Environmental
2676,"An act to amend Section 1368.015 of, and to add Sections 1367.29 and 1368.016 to, the Health and Safety Code, and to add Sections 10123.198 and 10123.199 to the Insurance Code, relating to health care coverage.",Health
2677,An act relating to science and mathematics instruction.,Education
2678,"An act to amend Section 401 of the Unemployment Insurance Code, relating to unemployment insurance.",Labor and Employment
2679,"An act to amend Section 923 of the Labor Code, relating to employment.",Labor and Employment
2680,"An act relating to state property, and declaring the urgency thereof, to take effect immediately.",Housing and Property
2681,"An act to amend Section 21654 of the Vehicle Code, relating to vehicles.",Transportation
2682,"An act to amend Sections 1418.9 and 1599.1 of, and to add Section 1599.15 to, the Health and Safety Code, relating to nursing facility residents.",Health
2683,"An act to amend Section 5810 of the Public Utilities Code, relating to cable and video service.",Technology and Communication
2684,"An act to add Section 17075.20 to the Education Code, relating to school facilities.",Education
2685,"An act to amend Sections 2923.5, 2923.6, 2924.8, and 2924f of, and to amend, repeal, and add Section 2943 of, the Civil Code, and to amend Section 17312 of the Financial Code, relating to real property transactions.",Housing and Property
2686,"An act to amend Section 38505 of, and to add Section 38575 to, the Health and Safety Code, relating to air pollution.",Environmental
2687,"An act to add Chapter 27 (commencing with Section 16100) to Division 7 of the Water Code, relating to water quality.",Environmental
2688,"An act to add Section 33009.7 to the Education Code, and to add Section 15491 to the Government Code, relating to public meetings and hearings.",State Agencies
2689,"An act to add Article 1.5 (commencing with Section 49310) to Chapter 8 of Part 27 of Division 4 of Title 2 of the Education Code, relating to pupil safety.",Education
2690,"An act to add Section 598.1 to the Penal Code, relating to dogfighting.",Animal Rights and Wildlife Issues
2691,"An act to amend Section 209 of the Code of Civil Procedure, relating to jury service.",Judiciary
2692,"An act to amend Section 399.20 of, and to add Section 387.6 to, the Public Utilities Code, relating to energy.",Energy
2693,"An act to amend Sections 1716 and 1717 of the Code of Civil Procedure, relating to judgments.",Judiciary
2694,"An act to amend Section 701 of the Public Utilities Code, relating to public utilities.",Public Services
2695,"An act to amend Section 69984 of the Education Code, and to add and repeal Chapter 3.5 (commencing with Section 18900) of Part 10.2 of Division 2 of the Revenue and Taxation Code, relating to taxation.",Education
2696,"An act to amend Section 350 of the Penal Code, relating to crimes.",Crime
2697,"An act to amend Sections 290.04, 290.05, 290.06, 290.07, and 1203 of the Penal Code, and to amend Section 706 of the Welfare and Institutions Code, relating to sex offenders.",Crime
2698,"An act to amend Section 65584.09 of the Government Code, relating to land use.",Housing and Property
2699,"An act relating to state claims, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",State Agencies
2700,"An act to amend Section 5000 of the Penal Code, relating to the Department of Corrections and Rehabilitation.",State Agencies
2701,"An act to amend Sections 28, 4980.02, 4980.03, 4980.35, 4980.38, 4980.40, 4980.43, 4980.44, 4980.50, and 4980.54 of, to amend and repeal Sections 4980.37, 4980.39, 4980.41, 4980.80, and 4980.90 of, and to add Sections 4980.36, 4980.72, 4980.74, 4980.76, and 4980.78 to, the Business and Professions Code, to amend Section 1010 of the Evidence Code, to amend Sections 6924 and 6929 of the Family Code, and to amend Sections 1277 and 123115 of the Health and Safety Code, relating to marriage and family therapy.",Health
2702,"An act to amend Sections 54440, 54441.5, 54442, 54443.1, 54444.1, and 54444.2 of the Education Code, relating to migrant education.",Education
2703,"An act to amend Section 23109 of the Vehicle Code, relating to vehicles.",Transportation
2704,"An act to add Part 8 (commencing with Section 38600) to Division 25.5 of the Health and Safety Code, relating to air pollution.",Environmental
2705,"An act to amend Section 17072.10 of the Education Code, relating to school facilities.",Education
2706,"An act to amend Section 11011.15 of the Government Code, relating to state property.",Housing and Property
2707,"An act to amend Section 5272 of the Business and Professions Code, relating to outdoor advertising.",Commerce
2708,"An act to amend Sections 26001, 26002, and 26003 of the Public Resources Code, relating to energy.",Energy
2709,An act relating to education.,Education
2710,"An act to add Section 102.5 to the Elections Code, relating to petitions.",Legislative Affairs
2711,"An act to add Article 7 (commencing with Section 111657) to Chapter 6 of Part 5 of Division 104 of the Health and Safety Code, relating to pharmaceuticals.",Health
2712,"An act to add Section 125293 to the Health and Safety Code, relating to stem cells.",Legal Issues
2713,"An act to amend Sections 237, 368, 1048, and 14213 of the Penal Code, relating to crime.",Crime
2714,"An act to add Section 31787.65 to the Government Code, relating to death benefits.",Municipal and County Issues
2715,"An act to add Article 13.5 (commencing with Section 25250.50) to Chapter 6.5 of Division 20 of, and to repeal Section 25250.65 of, the Health and Safety Code, relating to hazardous materials.",Environmental
2716,"An act to amend Section 1936.015 of the Civil Code, relating to passenger vehicle rentals, and declaring the urgency thereof, to take effect immediately.",Transportation
2717,"An act to amend Section 17582 of the Education Code, relating to school facilities.",Education
2718,"An act to amend Section 21655.5 of the Vehicle Code, relating to vehicles.",Transportation
2719,"An act to amend Sections 1536.1, 1538.5, and 1567.3 of the Health and Safety Code, and to amend Section 740 of the Welfare and Institutions Code, relating to juveniles.",Health
2720,"An act to amend Sections 17072 and 19184 of, to amend and repeal Sections 17131.4, 17131.5, 17215.1 and 17215.4 of, and to add Sections 17138.5 and 17216 to, the Revenue and Taxation Code, relating to taxation, to take effect immediately, tax levy.",Health
2721,"An act to add and repeal Chapter 3.7 (commencing with Section 7292) of Part 1.7 of Division 2 of the Revenue and Taxation Code, relating to taxation.",State Agencies
2722,"An act to add Chapter 35 (commencing with Section 22949) to Division 8 of the Business and Professions Code, relating to economy hotels.",Business and Consumers
2723,"An act to amend Sections 11346, 11346.2, 11346.3, 11346.45, 11346.5, 11349.1, 11350, and 11350.3, and 11357 of the Government Code, relating to regulations.",Business and Consumers
2724,"An act to amend Section 12718 of the Government Code, relating to gaming.",Indigenous Peoples
2725,"An act to amend Section 14030 of, and to add Article 10 (commencing with Section 14077) to Chapter 1 of Part 5 of Division 3 of Title 1 of, the Corporations Code, relating to Indian tribes, and making an appropriation therefor.",Commerce
2726,"An act to amend Sections 6275, 6276.02, 6276.04, 6276.06, 6276.08, 6276.10, 6276.12, 6276.14, 6276.16, 6276.18, 6276.22, 6276.24, 6276.26, 6276.28, 6276.30, 6276.32, 6276.34, 6276.36, 6276.38, 6276.40, 6276.42, 6276.44, 6276.46, and 6276.48 of the Government Code, relating to records.",Other
2727,"An act to amend Section 1276.4 of, and to add Section 1276.45 to, the Health and Safety Code, relating to direct care nurses.",Health
2728,"An act to amend Section 17070.20 of the Education Code, and to amend Section 15490 of, to add Section 15490.5 to, and to repeal Section 14620 of, the Government Code, relating to the State Allocation Board.",State Agencies
2729,"An act to amend Section 2827 of the Public Utilities Code, relating to energy.",Energy
2730,"An act to amend Section 1831 of the Military and Veterans Code, relating to the POW/MIA Flag.",Resolutions
2731,"An act to amend Sections 2101, 3011, and 4103 of, and to add Sections 3020.5 and 14216.5 to, the Elections Code, and to add Section 14902.5 to the Vehicle Code, relating to elections.",Campaign Finance and Election Issues
2732,"An act to add Division 26.7 (commencing with Section 79700) to the Water Code, relating to financing a water supply reliability and water source protection program, by providing the funds necessary therefor through an election for the issuance and sale of bonds of the State of California and for the handling and disposition of those funds, and declaring the urgency thereof, to take effect immediately.",Environmental
2733,"An act to amend Section 5019.50 of the Public Resources Code, relating to state parks.",State Agencies
2734,"An act to add Chapter 2.7 (commencing with Section 18900) to Division 8 of the Business and Professions Code, relating to personal trainers.",Health
2735,"An act to add Section 17075.20 to the Education Code, relating to school facilities.",Education
2736,"An act to add Section 21090.2 to, and to add Chapter 3.5 (commencing with Section 25250) to Division 15 of, the Public Resources Code, relating to energy.",Energy
2737,"An act to add Section 69614.4 to the Government Code, relating to courts.",Judiciary
2738,"An act to amend Section 47614.5 of the Education Code, relating to charter school facilities.",Education
2739,"An act to amend Section 1596.792 of the Health and Safety Code, relating to child care.",Legal Issues
2740,"An act to amend Sections 226.7 and 512 of the Labor Code, relating to employment.",Labor and Employment
2741,"An act to add Section 11267 to the Welfare and Institutions Code, relating to public social services.",Labor and Employment
2742,"An act to amend Section 44011 of the Health and Safety Code, relating to vehicles.",Transportation
2743,"An act to add and repeal Section 66406.8 of the Education Code, relating to college textbooks.",Education
2744,"An act to amend Sections 13204, 14287, 15154, and 15208 of the Elections Code, relating to ballots.",Campaign Finance and Election Issues
2745,"An act to amend Section 144 of, and to add Sections 144.5 and 144.6 to, the Business and Professions Code, relating to professions and vocations.",Labor and Employment
2746,"An act to amend Sections 42023.1, 42023.2, 42023.3, 42023.4, 42023.5, and 42023.6 of, and to add Section 40118 to, the Public Resources Code, relating to solid waste, and making an appropriation therefor.",Environmental
2747,"An act to amend Sections 65072 and 65073 of, and to add Sections 14000.6, 65071, 65072.1, and 65072.2 to, the Government Code, relating to transportation planning.",Transportation
2748,"An act to amend Sections 7025, 7028.5, 7029, 7065, 7065.1, 7065.5, 7068, 7068.1, 7068.2, 7069, 7071, 7071.7, 7071.8, 7071.9, 7071.11, 7071.17, 7072.5, 7075.1, 7076, 7076.2, 7085.6, 7090, 7090.1, 7096, 7121, 7121.1, 7121.5, 7121.6, 7122, 7122.1, 7122.2, 7122.5, 7137, 7138, 7152, 7159, and 7159.10 of, and to add Sections 7071.6.5 and 7071.19 to, the Business and Professions Code, and to amend Section 17002 of the Corporations Code, relating to contractors, and making an appropriation therefor.",Labor and Employment
2749,"An act to amend Section 3291 of the Civil Code, and to amend Section 685.010 of the Code of Civil Procedure, relating to judgments.",Judiciary
2750,"An act to add Sections 862 and 15002 to the Financial Code, relating to financial institutions.",Commerce
2751,"An act to amend Section 2000 of the Business and Professions Code, relating to medical practice.",Health
2752,"An act to amend Section 1707.7 of the Insurance Code, relating to the Insurance Commissioner.",Insurance
2753,"An act to amend Sections 789.10 and 10127.7 of the Insurance Code, relating to life insurance.",Insurance
2754,"An act to amend Section 18691 of the Health and Safety Code, relating to mobilehomes.",Housing and Property
2755,"An act to amend Section 1170 of the Penal Code, relating to sentencing.",Crime
2756,"An act to add Section 5008.9 to the Public Resources Code, relating to public resources.",Public Services
2757,"An act to repeal and add Section 1798.89 of the Civil Code, and to amend Section 4506 of the Family Code, relating to social security numbers.",Public Services
2758,"An act to amend Sections 17008.5, 17020.6, 17024.5, 17041, 17052.12, 17062, 17063, 17072, 17085, 17132.5, 17144.5, 17152, 17206, 17250, 17250.5, 17255, 17275.5, 17276, 17501, 17551, 17952.5, 18165, 18180, 18631, 19116, 19131, 19134, 19164, 19166, 19172, 19179, 19443, 21015.5, 23045, 23051.5, 23456, 23609, 23712, 23732, 23772, 24305, 24356, 24357, 24357.1, 24357.7, 24358, 24416, 24949.5, 24990.6, and 24993 of, to add Sections 17020.15, 17131.3, 17132.8, 17204, 17225, 17257, 17257.2, 17257.4, 17275.2, 17275.3, 17279.6, 17560.5, 17681.3, 17755, 18031.5, 18037.5, 18151.5, 18155.6, 19172.5, 19185, 19186, 23046.5, 23703.7, 24303, 24329, 24349.2, 24462, 24831.3, 24941.5, 24950.5, 24990.2, and 24990.8 to, and to repeal Sections 24355.3, 24981, and 24988 of, the Revenue and Taxation Code, relating to taxation.","Federal, State, and Local Relations"
2759,"An act to add Section 7026.13 to the Business and Professions Code, relating to contractors.",Labor and Employment
2760,"An act to amend Section 65040.6 of, and to add Section 65083 to, the Government Code, to amend Sections 41081, 44223, and 44225 of the Health and Safety Code, to amend Section 75125 of the Public Resources Code, and to amend Sections 9250.2 and 9250.17 of, and to add Section 9250.6 to, the Vehicle Code, relating to land use.",Environmental
2761,"An act to amend Section 12370 of the Penal Code, relating to body armor, and declaring the urgency thereof, to take effect immediately.",Crime
2762,"An act to amend Sections 11106, 12030, 12076, 12077, and 12078 of the Penal Code, relating to firearms.",Guns
2763,"An act to amend Sections 9600.5, 14000, and 14230 of, and to add Section 14230.7 to, the Unemployment Insurance Code, relating to workforce investment.",Labor and Employment
2764,"An act to amend Section 17701 of the Business and Professions Code, relating to coupons.",Commerce
2765,"An act to amend Section 379.6 of the Public Utilities Code, relating to electricity.",Energy
2766,"An act to amend Sections 31520.1, 31520.2, 31520.3, 31520.4, and 31520.5 of, to add Section 31523.1 to, and to repeal and add Section 31523 of, the Government Code, relating to county retirement.",Senior Issues
